year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2010,AT,116408.99999999997,93783.75871405168,163729.719,60872.68000000001,64282.861,119690.057
2011,AT,120888.0,99171.28921711186,170900.804,62022.012,69976.595,132297.94199999998
2012,AT,125979.00000000006,99379.0055700473,175862.072,63674.762,72665.951,137537.315
2013,AT,129375.99999999997,99109.55357458499,179077.37,64960.027,74876.56099999999,138805.64
2014,AT,132658.0,102839.97366736323,182800.17400000003,66531.421,75817.732,142390.744
2015,AT,136903.00000000006,107318.00969886238,187426.264,68856.52900000001,78323.29800000001,145587.906
2016,AT,142227.0000000001,112464.0149475375,193669.252,71049.815,82948.00400000002,148748.91
2017,AT,147168.0000000001,116077.37393202553,201268.12799999997,72695.017,87584.943,160157.291
2018,AT,154310.00000000003,122006.70352019931,207777.388,75207.74299999999,93178.02300000002,172815.86299999998
2019,AT,161068.99999999988,124365.14055491952,213410.75,78029.44699999999,99243.689,178160.534
2020,AT,160657.00000000006,127764.56295692569,191774.488,81044.288,95590.059,163715.91400000002
2021,AT,168560.00000000006,135841.59523039995,200994.09,88623.179,105115.703,192371.337
2022,AT,182229.0,146266.12671242887,234794.5309999999,92346.74799999999,114126.20899999999,227329.53100000002
2023,AT,197350.99999999994,149393.47642687304,255017.233,98191.563,117839.312,228369.544
