Set_i,value
CPA_L,302630.283
D21X31,184931.796
P7,156916.845
CPA_G47,149986.889
CPA_C10-12,98117.134
CPA_G46,69749.653
CPA_C29,56941.898
CPA_Q86,55574.357
CPA_I,55325.11
CPA_K65,42959.474
CPA_Q87_88,40408.682
CPA_S96,36566.912
CPA_D35,36070.375
CPA_K64,35201.243
CPA_G45,30207.08
P33,28595.186
CPA_H49,26679.353
CPA_J61,22597.575
CPA_C31_32,22590.537
CPA_P85,18337.473
CPA_C19,14814.606
CPA_E37-39,14205.6
CPA_C21,13908.255
CPA_R90-92,11795.821
CPA_A01,11602.505
CPA_N80-82,11138.645
CPA_O84,11060.088
CPA_N79,9866.093
CPA_C13-15,8563.256
CPA_C20,8224.46
CPA_J58,7938.081
CPA_T,7835.0
CPA_C27,7395.286
CPA_J59_60,7388.825
CPA_R93,7340.744
CPA_C26,7262.611
CPA_E36,6873.122
CPA_F,6058.162
CPA_C17,5761.446
CPA_C23,5709.164
CPA_C25,5704.209
CPA_M71,5530.018
CPA_M74_75,5218.707
CPA_N77,4781.631
CPA_C30,4504.576
CPA_H52,4048.046
CPA_H53,2858.964
CPA_C22,2829.959
CPA_C18,2685.224
CPA_S94,2405.306
CPA_H51,2405.257
CPA_H50,2068.902
CPA_C28,1818.894
CPA_S95,1551.617
CPA_M69_70,1539.877
CPA_C16,1470.033
CPA_A02,1423.511
CPA_K66,684.815
CPA_B,580.03
CPA_C33,327.28
CPA_A03,235.022
CPA_J62_63,217.288
CPA_N78,155.033
