Set_i,value
CPA_C29,142395.938
CPA_C28,130470.495
CPA_C20,90085.318
CPA_G46,74217.662
CPA_C26,55472.225
CPA_C27,50689.766
CPA_C21,49094.826
CPA_C10-12,46850.39
CPA_C24,38811.481999999996
CPA_C22,31208.633
CPA_C25,27622.203
CPA_H50,26671.051
CPA_C30,23792.096
CPA_C31_32,22386.347
CPA_N77,20239.316
CPA_M72,19966.719
CPA_J62_63,19300.68
CPA_K64,18705.129
CPA_J58,17335.573
CPA_M69_70,16844.573
CPA_C17,14085.063
CPA_G45,12701.233
CPA_M71,11937.568
CPA_C13-15,11526.897
CPA_H53,10194.518
CPA_C23,10140.292
CPA_C19,9764.217
CPA_K65,9601.158
CPA_M73,8202.406
CPA_E37-39,7658.718
CPA_H52,6626.051
CPA_N80-82,6549.919
CPA_C33,5948.691
CPA_C16,5709.826
CPA_A01,5582.289
CPA_I,5149.09
CPA_K66,4922.294
CPA_H51,4787.978
CPA_O84,4678.926
CPA_H49,4128.873
CPA_J61,3578.848
CPA_D35,2789.428
CPA_N78,2469.363
CPA_J59_60,2391.502
CPA_M74_75,1840.715
CPA_F,1806.341
CPA_B,1067.734
CPA_L,1031.031
CPA_C18,986.469
CPA_A02,817.994
CPA_N79,513.026
CPA_S95,385.952
CPA_R90-92,354.775
CPA_P85,225.692
CPA_R93,207.501
CPA_S94,162.52100000000002
CPA_Q86,124.459
CPA_A03,90.319
CPA_G47,-0.14799999999999922
