Set_j,value
P3_S14,1339729.997
S2,1102899.951
P3_S13,744003.8690000001
P51G,543456.53
F,200526.85700000002
C29,178617.449
C10-C12,121925.504
G46,120814.442
C28,113017.348
L,109936.513
O84,99042.487
G47,95635.487
M69_M70,88634.86
D35,81129.648
H52,77285.005
Q86,75733.596
J62_J63,65472.085999999996
K64,57079.501000000004
H49,56526.618
C25,56436.849
P3_S15,53161.0
K65,50684.371999999996
C20,49629.582
N80-N82,48214.768000000004
C27,44429.027
C24,43877.994999999995
M71,41945.049
P85,40995.381
J61,38871.737
Q87_Q88,36003.1
C26,34447.622
I,31987.883
E37-E39,31341.744
C22,30222.061
H53,27473.690000000002
C30,27043.009
C23,26740.001
A01,25928.058
N77,25834.454
G45,25012.277
C31_C32,23632.828
C33,20322.446
K66,19769.329999999998
C21,19258.27
J59_J60,17693.103
S96,17235.788
C17,16887.132999999998
C19,15852.491
C16,15208.547999999999
J58,15202.64
M74_M75,14271.022
H50,12825.055999999999
M72,12627.742
M73,12180.758
R93,11334.699
S94,10437.794
R90-R92,9962.107
C13-C15,9315.374
H51,8964.119
N79,8137.763
C18,7184.616
N78,6295.761
B,4910.683
E36,3796.919
A02,2417.9320000000002
S95,655.093
A03,184.149
B8_S11,-37992.55900000006
