Set_i,value
CPA_L,482110.49900000007
CPA_F,401988.005
CPA_G46,320465.23499999987
CPA_O84,319528.326
CPA_C29,305930.007
CPA_Q86,272895.516
CPA_G47,242978.502
CPA_C28,217403.37399999995
CPA_C10-12,199876.10700000002
CPA_M69_70,196469.948
CPA_P85,194300.694
CPA_J62_63,168038.67799999996
CPA_Q87_88,142477.242
CPA_H52,142138.728
CPA_K64,139070.431
CPA_N80-82,134317.41899999997
CPA_C25,123787.44600000003
CPA_C20,121366.49699999997
CPA_D35,116659.81199999999
CPA_M72,112321.88500000001
CPA_H49,110351.56
CPA_M71,109241.192
CPA_G45,100131.66499999998
CPA_N77,93893.75700000003
CPA_C27,92908.631
CPA_K65,88017.916
CPA_C24,86211.22200000004
CPA_C26,78939.63299999996
CPA_I,74461.907
CPA_C22,72673.38600000004
CPA_J61,71542.113
CPA_H53,67997.268
CPA_E37-39,65308.91100000002
CPA_C33,53988.082
CPA_C31_32,53514.91800000001
CPA_A01,52140.91000000001
CPA_S96,49725.126000000004
CPA_C23,47409.80900000001
CPA_J58,45791.042
CPA_C30,45468.69199999998
CPA_S94,45339.59599999999
CPA_K66,44900.53
CPA_C19,38472.74899999999
CPA_J59_60,34784.72099999999
CPA_C17,33263.44400000001
CPA_C21,33101.111999999994
CPA_M74_75,31801.815000000002
CPA_N78,30497.915000000008
CPA_R90-92,28242.759000000002
CPA_H50,28056.82999999999
CPA_C16,25943.763
CPA_R93,25239.676000000007
CPA_M73,24738.657000000003
CPA_C13-15,19153.71700000001
CPA_H51,16171.298999999999
CPA_C18,16148.94900000001
CPA_N79,12536.897
CPA_E36,11198.761
CPA_B,9949.91299999999
CPA_T,7835.0
CPA_S95,4587.862
CPA_A02,3873.956
CPA_A03,637.0
