Set_j,2019,2020,2021,2022,change_2019_2020,change_2020_2021,change_2021_2022
A01,25307.167,25928.058,27699.503,33614.32,2.4534196182449013,6.832154571699892,21.353513093718682
A02,2538.117,2417.9320000000002,2691.453,3042.306,-4.735203302290633,11.312187439514416,13.03582117168682
A03,278.021,184.149,178.685,208.38400000000001,-33.76435592994774,-2.9671624608333462,16.620869127235085
B,4455.858,4910.683,5395.027,6024.606,10.207349516075238,9.863067927618216,11.669617223417042
B8_S11,-41691.68399999968,-37992.55900000006,-14438.15900000001,-13050.656999999821,-8.87257276534968,-61.99740322835324,-9.60996481615273
C10-C12,115905.853,121925.504,118657.172,146650.794,5.1935694740109435,-2.6805974900870577,23.59201852543729
C13-C15,9011.848,9315.374,9980.739,11457.978,3.368077224560377,7.1426547125214706,14.800898009656397
C16,14672.578,15208.547999999999,18737.506,22601.478,3.6528686369907137,23.203779874318066,20.62159179562103
C17,17965.990999999998,16887.132999999998,22070.299,28668.802,-6.005001338362021,30.69298974550625,29.897660199347552
C18,7888.153,7184.616,7664.228,8854.901,-8.918906618570915,6.675541184107822,15.535459018181609
C19,16573.524,15852.491,22123.453,36888.694,-4.350511092269823,39.55821201854018,66.74021907882101
C20,49208.204,49629.582,65338.968,81888.863,0.8563165605475141,31.653270825452445,25.32928741696685
C21,17830.231,19258.27,21832.945,22675.639,8.009088609115613,13.369191521356793,3.8597358258356786
C22,31081.72,30222.061,36674.489,41580.668,-2.7658025360243887,21.350059481383482,13.377634245974079
C23,26585.019,26740.001,28504.341,34376.454,0.5829674223667095,6.598129895357895,20.60076744100135
C24,50002.905,43877.994999999995,56447.106999999996,73067.33,-12.249108326806219,28.64559330935701,29.443888063209343
C25,60391.649,56436.849,64932.535,79571.115,-6.5485875373265525,15.053437869998735,22.544291548143008
C26,34913.698,34447.622,37324.641,41040.022,-1.3349373646985023,8.351865333403856,9.954231040025258
C27,44269.764,44429.027,48051.15,58332.369999999995,0.3597557014308886,8.15260482747011,21.39640778628606
C28,125764.179,113017.348,122398.03,140893.059,-10.135502097143261,8.300214229058003,15.110561011480339
C29,202863.495,178617.449,213920.224,251076.42200000002,-11.951901942732478,19.764460413943095,17.369184317982032
C30,29219.445999999996,27043.009,25058.616,28445.166,-7.44859091442048,-7.337914948739605,13.514513331462515
C31_C32,22956.62,23632.828,25178.664,28001.187,2.94559042228343,6.541053825636099,11.209979210970054
C33,21850.372,20322.446,21432.77,26003.305,-6.992677287141837,5.4635352457081225,21.32498505792765
D35,77281.97,81129.648,86222.955,113284.499,4.978752482629519,6.277984837306333,31.385544603522337
E36,3615.505,3796.919,3775.169,3965.809,5.01766696491914,-0.5728328679121151,5.049840152851444
E37-E39,30075.658,31341.744,37059.488,38614.211,4.2096701591699155,18.24322220231267,4.19520906494986
