Set_j,value
L,293466.193923069
G46,53548.3739955232
Q86,50002.3796451826
D35,46438.2355618936
C29,44868.8009925207
F,36485.7799276913
O84,36253.9671751405
G47,34116.0347175157
N77,32951.4968518142
P85,26016.928795909
J62_J63,22729.6574231464
C28,21783.1935863522
C20,19440.8781167443
K64,17236.5969988348
C26,17026.627099115
H49,17015.7908528386
H52,16041.2620717657
J61,15631.5417109741
E37-E39,14646.3675726806
G45,13485.2987273464
Q87_Q88,13373.8681052037
C10-C12,12293.863147951
C21,11812.8601692108
C27,10480.6309382908
A01,9607.3375786645
N80-N82,9470.86233304299
C25,9421.66871993161
M69_M70,8600.64170135816
C22,7382.74850224715
K65,7155.65376415267
M71,6083.39706743026
M72,5625.43272872306
C31_C32,5584.39102673042
C23,4685.31810675693
I,4258.16112706752
J59_J60,3427.12147888716
S96,2970.59246096577
E36,2669.22260054257
C24,2437.05538232967
H50,2385.16121532707
R90-R92,2346.36283624407
C17,2340.46636895597
H53,1807.23831669019
R93,1700.18615139245
J58,1641.86225496016
C16,1451.64020237056
C19,1429.96542447914
C18,1253.54337454558
C33,1004.02527974564
M74_M75,783.376199219146
C30,759.877737309703
K66,748.539163391089
C13-C15,741.137608403771
S94,608.306765634882
M73,202.894702231362
B,123.865719558388
S95,13.1066707431654
A02,3.0017981557471902
A03,1.6915917258912
N79,-0.0348113546055966
N78,-0.0569761218460222
H51,-11.4851119574017
