Partner,Exports,Imports,Balance,Total_Trade
US,74067.264,114038.64,-39971.376000000004,188105.90399999998
CN,72638.029,104722.67199999999,-32084.642999999996,177360.701
FR,61200.517,93567.542,-32367.025,154768.059
WRL_REST,0.0,138506.335,-138506.335,138506.335
CH,54764.423,56642.899,-1878.475999999995,111407.322
GB,42162.149,67277.865,-25115.716000000008,109440.014
NL,57190.998999999996,51291.966,5899.032999999996,108482.965
IT,44923.308,63238.147,-18314.839,108161.45499999999
AT,44333.385,53566.831,-9233.445999999996,97900.216
PL,47899.143000000004,46993.489,905.6540000000023,94892.63200000001
ES,31410.649,38594.657,-7184.007999999998,70005.306
CZ,32901.4,32619.456,281.94400000000314,65520.856
BE,26726.141,34109.654,-7383.513000000003,60835.795
JP,21242.155,24844.486,-3602.331000000002,46086.641
IE,30433.338,15601.306,14832.032,46034.644
HU,21718.934,23778.581,-2059.646999999997,45497.515
SE,14559.578,21988.5,-7428.9220000000005,36548.078
DK,12042.051,17502.186,-5460.135000000002,29544.237
RO,12296.773,14231.858,-1935.085000000001,26528.631
SK,11906.476,11583.76,322.71600000000035,23490.236
LU,11483.793,9629.58,1854.2129999999997,21113.373
MX,0.0,19245.135,-19245.135,19245.135
RU,0.0,18610.068,-18610.068,18610.068
KR,0.0,17671.815,-17671.815,17671.815
FI,7816.165,9568.335,-1752.1699999999992,17384.5
TR,0.0,16715.001,-16715.001,16715.001
PT,5633.621,9095.813,-3462.192,14729.434000000001
IN,0.0,13387.603,-13387.603,13387.603
CA,0.0,13173.739,-13173.739,13173.739
BR,0.0,9201.66,-9201.66,9201.66
AU,0.0,8959.38,-8959.38,8959.38
NO,0.0,8719.691,-8719.691,8719.691
GR,2625.912,5354.256,-2728.3440000000005,7980.168
SI,4128.423,3839.612,288.8109999999997,7968.035
SA,0.0,7754.9400000000005,-7754.9400000000005,7754.9400000000005
BG,3616.278,3356.876,259.4019999999996,6973.154
ZA,0.0,5511.563,-5511.563,5511.563
LT,1962.336,2203.601,-241.2650000000001,4165.937
ID,0.0,3622.884,-3622.884,3622.884
HR,1004.986,2578.438,-1573.4520000000002,3583.424
MT,2111.388,752.178,1359.21,2863.566
RS,0.0,2157.834,-2157.834,2157.834
EE,1005.692,1133.154,-127.46199999999999,2138.846
AR,0.0,1997.969,-1997.969,1997.969
LV,707.313,1105.3,-397.98699999999997,1812.6129999999998
CY,409.935,553.109,-143.17400000000004,963.0440000000001
MK,0.0,858.538,-858.538,858.538
AL,0.0,239.832,-239.832,239.832
ME,0.0,210.773,-210.773,210.773
