year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2010,ES,413369.0,345247.12873557786,651380.415,220650.003,235616.98299999998,234035.80800000002
2011,ES,404045.0,347253.31286395685,653871.44,218985.99,215309.00700000004,264319.58800000005
2012,ES,379255.0,343715.94983654603,645975.5590000001,204987.012,193834.99200000003,273296.603
2013,ES,368680.0,342331.71903262864,634184.549,202531.00900000002,180497.99599999998,283852.265
2014,ES,372621.0,345419.84763501503,646901.5000000001,202403.998,187322.002,294090.451
2015,ES,392024.0,356559.76578725746,666196.5169999999,209316.984,198929.99499999997,308267.962
2016,ES,400072.0,373809.04278571956,688643.419,211850.002,204286.98299999998,318119.87399999995
2017,ES,415343.0,388774.9346836168,724907.352,215797.99000000002,221206.982,342712.55299999996
2018,ES,432478.0,398917.9429920612,749060.342,223672.99499999997,238502.007,354986.381
2019,ES,456873.0,403562.8309678695,764822.4029999999,234126.99499999997,254565.99399999995,364479.09
2020,ES,433016.0,351649.7088342741,634716.834,245552.99600000004,232797.997,321572.754
2021,ES,469154.0,375678.68309385766,704795.771,259441.006,249560.01400000002,368531.99500000005
2022,ES,513562.0000000001,443949.11485582375,817165.483,275810.998,280382.0090000001,453808.39
2023,ES,555000.0,491910.63834981923,886305.351,294320.995,295317.995,465947.014
