year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2010,FR,766201.0000000002,595437.7285781646,1104825.282,482412.88999999996,428800.2020000001,488243.773
2011,FR,786254.0,611009.9705414898,1136647.478,494245.68000000005,447470.08900000004,534306.522
2012,FR,801671.0000000005,604927.4177180445,1150525.673,505817.909,452237.81000000023,551721.399
2013,FR,813021.0000000002,622417.5897620028,1164717.983,516835.578,450989.5939999999,564607.495
2014,FR,822758.0000000002,634074.8380471864,1177644.2219999998,524758.798,451387.69899999985,576021.6510000001
2015,FR,835799.0000000005,656502.7227370099,1197126.9389999998,529876.7050000001,452605.28599999996,610870.611
2016,FR,853699.0000000002,655997.9898666732,1216479.893,538313.993,466924.702,617013.7679999999
2017,FR,882129.0000000001,665207.8335162342,1247404.957,554402.889,490887.89299999987,646208.106
2018,FR,904798.0000000002,678305.3210536145,1287256.3930000002,561627.7920000001,515244.79699999996,674447.41
2019,FR,933718.0,707182.7589718335,1319259.986,572015.2830000002,545205.79,693445.858
2020,FR,896977.0,689091.8567088245,1218509.3250000002,587447.39,520133.7970000001,590263.1440000001
2021,FR,967491.0000000002,760360.011567295,1303666.662,625316.2909999999,588983.3960000001,703026.56
2022,FR,1044722.0,778242.8086121703,1429062.0779999997,653279.0970000001,628021.7920000001,848351.7960000001
2023,FR,1100362.0000000002,867473.8096124111,1547451.4359999998,678643.9830000001,651791.874,842726.6340000001
