year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2010,GR,63305.00000000006,67412.99743164763,156100.47400000002,50341.874,37608.038,38673.85100000001
2011,GR,58357.999999999985,61621.87750429937,149296.943,45008.068,28213.016000000003,40658.652
2012,GR,52371.00000000002,55899.67314566421,137393.923,42008.068,22827.517,42981.021
2013,GR,47986.0,54932.18616941864,132873.692,37364.919,20547.619000000002,40682.535
2014,GR,48837.00000000001,53478.06912096394,131320.27000000002,36668.007,19779.524,42587.143000000004
2015,GR,48273.99999999999,49615.35428649024,130849.01200000002,36484.115999999995,19572.417,41019.962999999996
2016,GR,49466.999999999985,47143.51445053871,129212.49799999999,36177.689999999995,19832.093999999997,39795.043000000005
2017,GR,49614.00000000001,47773.36532820363,134204.34200000003,36443.36099999999,21372.834000000003,45570.746
2018,GR,51229.000000000015,49303.31277096763,138621.171,35733.745,20465.640000000007,51845.97099999999
2019,GR,52928.000000000015,47345.08190521911,143897.519,37086.219999999994,20315.237999999998,53094.699
2020,GR,50761.99999999999,46389.79720043603,120799.082,38183.670999999995,20607.134,45464.672000000006
2021,GR,54595.0,50009.68186731275,134200.587,39796.11100000001,25455.678,60046.426999999996
2022,GR,58703.999999999985,62637.39921883176,160039.7799999999,41131.772,31042.498,78942.918
2023,GR,62329.00000000001,65505.44381829748,172313.34,43518.944,34152.12199999999,73384.53899999999
