year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2010,IT,469659.0000000001,546357.354186123,996791.8770000001,334716.00200000004,327450.394,374729.47699999996
2011,IT,476776.0000000001,563242.5780290836,1028506.5670000002,330542.998,329961.69200000004,409880.215
2012,IT,471407.0000000001,539575.5580235629,1019623.622,325528.002,301798.69800000003,418656.638
2013,IT,467396.00000000023,547145.1961371853,1008740.221,323353.998,280671.00299999997,416059.283
2014,IT,470219.9999999999,556457.6071022974,1014878.537,321041.01,275476.18299999996,425402.469
2015,IT,481944.0000000001,565218.451357322,1036011.087,318891.997,284103.1009999999,443092.67399999994
2016,IT,495775.0,599816.8411610577,1050022.155,326277.995,294828.792,448044.119
2017,IT,508528.99999999977,609082.0884372853,1078806.423,331415.00000000006,306672.489,480592.90400000004
2018,IT,522044.99999999994,615785.3937679372,1100494.0129999998,335724.98699999996,319499.78400000004,500066.80999999994
2019,IT,532907.0000000002,624219.8683237503,1112245.929,337133.9980000001,327062.49100000004,506556.7409999999
2020,IT,500818.00000000023,585417.0463099235,975339.52,346227.0,303972.494,451099.574
2021,IT,546174.0,656561.2762342149,1049813.9239999999,361823.988,382698.387,539853.13
2022,IT,581374.0000000001,733568.7740440073,1201167.219,376407.9850000001,435094.97900000005,637124.3640000001
2023,IT,612157.9999999999,796942.8271213787,1270637.044,382683.9849999999,479932.79000000004,645476.663
