year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2010,NL,248856.0,213842.8255499685,295332.81500000006,168709.991,125003.994,269594.85699999996
2011,NL,254413.0,217016.9640137057,304802.81799999997,168827.00400000002,130753.0,298551.555
2012,NL,256068.0,215136.41196051316,305735.8599999999,171022.99999999997,122368.013,313193.116
2013,NL,256972.0,217418.2970155347,310707.87100000004,171367.00999999998,121128.00299999998,319709.44999999995
2014,NL,256876.0,219584.48937079118,316288.84599999996,173826.005,118012.00799999999,326688.204
2015,NL,262510.0,234135.418395362,324412.854,173810.99300000002,152467.993,387419.34199999995
2016,NL,271227.0,234034.7187758724,331792.814,176488.999,138951.99200000003,382175.82200000004
2017,NL,280321.0,246573.52858977954,347261.798,181469.988,148356.98799999998,415686.678
2018,NL,292965.0,255157.53593692093,363344.805,190649.007,157069.00600000002,448064.006
2019,NL,307182.0,267218.3496357273,377189.77700000006,202261.98399999997,173484.0,453749.26900000003
2020,NL,316627.0,263999.40611878387,353192.81099999987,209742.979,173693.9990000001,427349.993
2021,NL,330627.0,301431.38662262465,384133.8949999999,226370.98399999997,184424.998,500388.57999999996
2022,NL,351799.0,350259.599607967,445723.886,241898.005,203422.002,614787.175
2023,NL,380828.99999999994,373261.5143156156,482496.795,264090.991,214543.991,613085.1969999999
