year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2010,PL,119725.0,99465.89544571422,227686.49699999997,69107.808,70772.00200000001,133340.91700000002
2011,PL,122951.00000000007,108994.15591510391,237507.7719999999,68612.81999999999,77419.06199999999,142840.87900000002
2012,PL,124584.00000000006,110020.41331605041,243661.644,69812.40699999999,75298.113,151342.175
2013,PL,126595.00000000006,112395.79324023156,243235.72799999994,71522.563,73357.226,157825.654
2014,PL,132643.00000000003,115915.97201278977,251483.814,74541.48000000001,81680.791,166157.43
2015,PL,137903.0000000001,126074.46038249855,260339.04400000002,77436.71399999999,87539.736,181539.578
2016,PL,140770.0,118584.64009715834,257030.33399999997,76215.381,78462.59300000001,184002.728
2017,PL,155693.0000000001,125738.3209956186,284616.7930000001,82400.97,81965.69100000002,208643.87699999998
2018,PL,169013.00000000006,132217.70936369695,301599.523,88038.46599999999,94519.748,225486.803
2019,PL,182595.00000000012,146871.2568393444,315658.475,95937.95099999999,103084.50600000001,242923.328
2020,PL,185023.00000000006,149906.29767995252,300955.55699999986,100181.161,97842.90499999988,244915.714
2021,PL,194886.00000000023,168402.73315957419,328373.996,107990.22,98690.067,291280.663
2022,PL,215793.99999999997,208281.9420141038,384945.3429999999,119896.49500000002,108760.14199999999,356814.357
2023,PL,252943.99999999997,229681.9675177292,433660.4310000001,142477.757,134605.44400000002,376277.349
