year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2010,PT,66541.00000000001,52709.77867399204,122084.25600000001,37011.348999999995,37137.632999999994,45239.261
2011,PT,63983.000000000015,52744.88979504857,120121.79,34713.633,32590.807,51273.077000000005
2012,PT,59098.00000000002,52599.38208107627,116399.86,30857.069999999996,26760.855000000003,53618.26
2013,PT,59340.999999999985,54054.50568255225,116534.89,32094.582,25312.75,56954.761999999995
2014,PT,59842.000000000015,55050.227830313335,120364.392,31819.000000000004,26169.806999999997,57771.779
2015,PT,61580.00000000002,56738.11355734297,124352.02099999998,32022.293,28082.257000000005,59997.602
2016,PT,63827.99999999999,59692.2502825865,129902.07699999998,32784.925,29311.59700000001,60716.55499999999
2017,PT,67464.0,61394.28669966215,136816.99500000002,33633.935999999994,33404.005000000005,66554.138
2018,PT,71548.00000000001,62493.03956429223,143673.34200000003,34768.918000000005,36548.585999999996,70413.60399999999
2019,PT,75866.0,64540.90450600444,150659.716,36348.005,39536.56,73065.206
2020,PT,76104.00000000003,59115.65508629069,132113.674,37961.77,39193.94099999999,64360.886
2021,PT,81402.00000000003,62893.53789779976,143257.88900000002,40124.33200000001,44387.663,76504.114
2022,PT,90092.0,72727.76964915657,171545.05999999994,42456.40099999998,50189.89200000001,95694.314
2023,PT,100715.00000000003,79083.37941824396,185131.984,44853.22999999999,53781.745,99050.61899999999
