year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2010,DE,1083300.0,804004.3506348088,1432690.6670000001,512021.996,501767.9929999999,876143.275
2011,DE,1135084.0,839064.2577043874,1479107.6290000002,523420.9820000001,549605.0100000001,969710.93
2012,DE,1183433.0,839116.5530696897,1521415.7259999996,538869.9880000001,558912.9940000001,1014189.8439999999
2013,DE,1221951.0,850018.347201168,1547762.703,561974.985,561175.0260000001,1008991.9920000001
2014,DE,1272784.0,891872.9194468395,1582195.6840000001,583523.0009999999,590404.9779999999,1049041.861
2015,DE,1326379.0,926154.7098564485,1627298.714,605941.989,609618.991,1106019.513
2016,DE,1381750.0,959323.9834718222,1675069.6820000005,633890.993,640442.9940000001,1108026.136
2017,DE,1444943.0,997080.290754342,1729474.729,657990.003,671085.9820000001,1173573.666
2018,DE,1516892.0,1000522.4803330194,1782949.684,680524.9839999999,714880.0049999999,1203624.042
2019,DE,1583357.0,996611.5169515501,1840601.707,717505.999,748216.001,1221909.507
2020,DE,1571635.0,987860.9051671948,1710173.8240000003,769044.978,736475.983,1102899.951
2021,DE,1630658.9999999998,1118258.39158325,1801856.8560000001,820184.9999999999,779205.009,1281961.8989999997
2022,DE,1729702.9999999995,1187078.0526815234,2045223.7949999997,869814.992,858253.004,1457218.467
2023,DE,1857639.0000000007,1302086.440703002,2177319.737,905150.981,899879.987,1476874.894
2010,FR,766201.0000000002,595437.7285781646,1104825.282,482412.88999999996,428800.2020000001,488243.773
2011,FR,786254.0,611009.9705414898,1136647.478,494245.68000000005,447470.08900000004,534306.522
2012,FR,801671.0000000005,604927.4177180445,1150525.673,505817.909,452237.81000000023,551721.399
2013,FR,813021.0000000002,622417.5897620028,1164717.983,516835.578,450989.5939999999,564607.495
2014,FR,822758.0000000002,634074.8380471864,1177644.2219999998,524758.798,451387.69899999985,576021.6510000001
2015,FR,835799.0000000005,656502.7227370099,1197126.9389999998,529876.7050000001,452605.28599999996,610870.611
2016,FR,853699.0000000002,655997.9898666732,1216479.893,538313.993,466924.702,617013.7679999999
2017,FR,882129.0000000001,665207.8335162342,1247404.957,554402.889,490887.89299999987,646208.106
2018,FR,904798.0000000002,678305.3210536145,1287256.3930000002,561627.7920000001,515244.79699999996,674447.41
2019,FR,933718.0,707182.7589718335,1319259.986,572015.2830000002,545205.79,693445.858
2020,FR,896977.0,689091.8567088245,1218509.3250000002,587447.39,520133.7970000001,590263.1440000001
2021,FR,967491.0000000002,760360.011567295,1303666.662,625316.2909999999,588983.3960000001,703026.56
2022,FR,1044722.0,778242.8086121703,1429062.0779999997,653279.0970000001,628021.7920000001,848351.7960000001
2023,FR,1100362.0000000002,867473.8096124111,1547451.4359999998,678643.9830000001,651791.874,842726.6340000001
2010,IT,469659.0000000001,546357.354186123,996791.8770000001,334716.00200000004,327450.394,374729.47699999996
2011,IT,476776.0000000001,563242.5780290836,1028506.5670000002,330542.998,329961.69200000004,409880.215
2012,IT,471407.0000000001,539575.5580235629,1019623.622,325528.002,301798.69800000003,418656.638
2013,IT,467396.00000000023,547145.1961371853,1008740.221,323353.998,280671.00299999997,416059.283
2014,IT,470219.9999999999,556457.6071022974,1014878.537,321041.01,275476.18299999996,425402.469
2015,IT,481944.0000000001,565218.451357322,1036011.087,318891.997,284103.1009999999,443092.67399999994
2016,IT,495775.0,599816.8411610577,1050022.155,326277.995,294828.792,448044.119
2017,IT,508528.99999999977,609082.0884372853,1078806.423,331415.00000000006,306672.489,480592.90400000004
2018,IT,522044.99999999994,615785.3937679372,1100494.0129999998,335724.98699999996,319499.78400000004,500066.80999999994
2019,IT,532907.0000000002,624219.8683237503,1112245.929,337133.9980000001,327062.49100000004,506556.7409999999
2020,IT,500818.00000000023,585417.0463099235,975339.52,346227.0,303972.494,451099.574
2021,IT,546174.0,656561.2762342149,1049813.9239999999,361823.988,382698.387,539853.13
2022,IT,581374.0000000001,733568.7740440073,1201167.219,376407.9850000001,435094.97900000005,637124.3640000001
2023,IT,612157.9999999999,796942.8271213787,1270637.044,382683.9849999999,479932.79000000004,645476.663
2010,ES,413369.0,345247.12873557786,651380.415,220650.003,235616.98299999998,234035.80800000002
2011,ES,404045.0,347253.31286395685,653871.44,218985.99,215309.00700000004,264319.58800000005
