Industry,Intermediate_Inputs,Label
C29,202863.49500000002,Motor vehicles
F,181193.232,Construction
C28,125764.179,Machinery
C10-C12,115905.853,Food products
G46,114938.63499999998,Wholesale trade
L,104101.286,L
G47,88792.407,Retail trade
O84,88657.302,Public administration
M69_M70,88598.666,Legal & accounting
H52,73890.608,Warehousing
J62_J63,64782.247,IT services
Q86,61929.977000000006,Healthcare
K64,60650.055,Financial services
C25,60391.649,Metal products
H49,56765.707,Land transport
C24,50002.905,Basic metals
N80-N82,49783.05100000001,Security & admin
C20,49208.204000000005,Chemicals
K65,47671.977000000006,Insurance
I,47196.68499999999,Accommodation & food
C27,44269.763999999996,Electrical equip.
M71,42899.141,Architecture & engineering
P85,40980.53500000001,Education
J61,38715.13800000001,Telecommunications
C26,34913.698,Electronics
Q87_Q88,33973.743,Social work
C22,31081.719999999994,Rubber & plastic
E37-E39,30075.658,Waste management
C30,29219.446,Other transport
C23,26585.019,Non-metallic minerals
G45,25572.464999999997,Motor vehicle trade
A01,25307.167000000005,Agriculture
N77,25023.003,Rental & leasing
H53,24644.642,Postal services
C31_C32,22956.620000000003,Furniture
C33,21850.372000000003,Repair & installation
S96,21553.822,Other personal services
J59_J60,18862.565,Film & broadcasting
N79,18634.522000000008,Travel agencies
C17,17965.991000000005,Paper
C21,17830.231,Pharmaceuticals
K66,17282.030000000002,Financial auxiliaries
C19,16573.524,Coke & petroleum
H51,16507.913,Air transport
J58,16405.975000000002,Publishing
C16,14672.578,Wood products
M74_M75,14640.731,Other professional
R93,14198.653999999999,Sports & recreation
M73,13468.722,Advertising
M72,12347.981,R&D
R90-R92,11730.250999999998,Arts & entertainment
H50,11549.717999999999,Water transport
S94,10223.172,Membership orgs
C13-C15,9011.848000000002,Textiles
N78,8209.144,Employment activities
C18,7888.152999999999,Printing
B,4455.858,Mining
E36,3615.5049999999997,Water supply
A02,2538.1169999999993,Forestry
S95,697.9979999999999,Repair of goods
A03,278.021,Fishing
