Product,Total_Supply
CPA_M69_70,173982.23399999994
CPA_L,164654.797
CPA_G46,145661.16599999997
CPA_F,131544.62600000002
CPA_H52,128917.106
CPA_J62_63,126604.12199999997
CPA_N80-82,110328.49500000002
CPA_K64,85011.84899999999
CPA_H49,82536.94299999998
CPA_C25,81650.79000000002
CPA_C29,73016.49500000004
CPA_G47,67521.99299999997
CPA_N77,64656.74999999998
CPA_C24,57731.80300000001
CPA_M71,55062.315999999984
CPA_G45,53571.384
CPA_D35,52539.38399999998
CPA_H53,50826.79499999998
CPA_C28,46799.15599999998
CPA_C10-12,45126.246
CPA_J61,43118.712
CPA_C22,42626.596999999994
CPA_O84,41868.518000000004
CPA_E37-39,40767.202999999994
CPA_K66,35332.958
CPA_N78,34499.286
CPA_A01,33780.27999999999
CPA_K65,31948.786000000007
CPA_C33,31240.565999999995
CPA_C23,31021.22100000001
CPA_P85,29794.142
CPA_C27,23552.001000000007
CPA_M74_75,21067.586000000003
CPA_C20,20512.57
CPA_C19,20053.588
CPA_M73,19106.207000000002
CPA_C17,18941.209999999995
CPA_J58,17913.112
CPA_C18,17146.352
CPA_C30,15358.294999999998
CPA_S96,14927.050000000001
CPA_J59_60,14845.694
CPA_Q86,14673.966000000002
CPA_C16,13995.338000000005
CPA_R93,13929.169
CPA_I,13331.897
CPA_C26,12456.10999999999
CPA_H51,12249.131999999996
CPA_S94,9395.032000000001
CPA_B,6804.060999999999
CPA_R90-92,6174.843
CPA_N79,5253.804999999999
CPA_E36,4264.012000000001
CPA_C31_32,4252.498
CPA_C13-15,3696.8759999999993
CPA_A02,3079.178
CPA_H50,2856.998
CPA_S95,2646.889
CPA_C21,2514.8010000000004
CPA_Q87_88,1929.037
CPA_M72,1134.976
CPA_A03,494.273
