Set_i,Set_j,count,total_value
CPA_B,B8_S11,1685,-25541.241000000024
CPA_C30,B8_S11,1453,-139417.36500000005
CPA_C24,B8_S11,1434,-33400.28000000016
CPA_C19,B8_S11,1417,-70738.8380000001
CPA_C17,B8_S11,1392,-36032.518000000004
CPA_C16,B8_S11,1318,-14052.605999999992
CPA_A01,B8_S11,1299,-13034.847999999954
CPA_C25,B8_S11,1212,-11102.857000000027
CPA_C23,B8_S11,1167,-74538.22999999997
CPA_C18,B8_S11,1148,-36404.00700000001
CPA_C10-12,B8_S11,1055,-17787.320999999996
CPA_J58,B8_S11,1001,-5927.345000000013
CPA_C20,B8_S11,1001,-30864.3850000001
CPA_C29,B8_S11,989,-80081.29999999987
CPA_C21,B8_S11,970,-439151.506
CPA_C22,B8_S11,954,-32356.854000000014
CPA_A03,B8_S11,941,-2298.029
CPA_C13-15,B8_S11,890,-55011.694000000025
CPA_C26,B8_S11,884,-132707.9290000001
CPA_C31_32,B8_S11,854,-48814.39500000002
CPA_C27,B8_S11,814,-8726.195999999989
CPA_E37-39,B8_S11,807,-29370.429000000007
CPA_A02,B8_S11,775,-4940.4630000000025
CPA_C28,B8_S11,711,-5832.321999999983
CPA_H49,B8_S11,672,-17927.06599999997
CPA_H50,B8_S11,656,-56848.140999999996
CPA_H51,B8_S11,586,-199.312000000006
CPA_D35,B8_S11,506,-32703.63799999994
CPA_J59_60,B8_S11,502,-3536.456000000011
CPA_K65,B8_S11,459,-1331.9819999999831
