Set_i,count,total_value
D29X39,2508,-1479605.3888228296
CPA_B,1685,-25541.241000000024
CPA_C30,1453,-139417.36500000005
CPA_C24,1434,-33400.28000000016
CPA_C19,1417,-70738.8380000001
CPA_C17,1392,-36032.518000000004
CPA_C16,1318,-14052.605999999992
CPA_A01,1299,-13034.847999999954
CPA_C25,1212,-11102.857000000027
CPA_C23,1167,-74538.22999999997
CPA_C18,1148,-36404.00700000001
CPA_C10-12,1055,-17787.320999999996
CPA_C20,1001,-30864.3850000001
CPA_J58,1001,-5927.345000000013
CPA_C29,989,-80081.29999999987
CPA_C21,970,-439151.506
CPA_C22,954,-32356.854000000014
CPA_A03,941,-2298.029
CPA_C13-15,890,-55011.694000000025
CPA_C26,884,-132707.9290000001
