Set_i,A01,A02,A03,B,C10-C12,C13-C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_C32,C33,E36,E37-E39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_J60,J61,J62_J63,K64,K65,K66,L,M69_M70,M71,M72,M73,M74_M75,N77,N78,N79,N80-N82,O84,P85,Q86,Q87_Q88,R90-R92,R93,S94,S95,S96
CPA_A01,2261.195,44.638,0.0,0.0,28975.222,33.939,2.071,1.076,0.0,0.0,19.193,2.182,182.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.198,1.789,0.0,0.0,443.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.0,4.249,0.0,0.0,0.0,1016.689,443.242,35.099,117.218,113.939,18.903,0.0,13.251,0.0,16.361
CPA_A02,70.884,940.737,0.0,23.391,15.406,0.0,1839.007,52.2,0.0,0.0,11.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.549,0.0,0.0,0.0,0.0,0.0,0.0,26.824,12.027,0.0,5.092,5.817,0.0,0.0,10.095,0.0,8.839
CPA_A03,0.0,0.0,57.747,0.0,307.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.438,0.0,0.0,0.0,113.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.677,0.0,6.815,3.892,0.0,0.0,0.0,0.0,0.0
CPA_B,51.706,0.0,0.0,868.585,179.929,7.117,0.0,18.56,0.0,42.368,188.077,14.641,3.051,2241.902,48.122,16.895,3.868,12.002,12.389,1.962,1.973,10.921,0.98,0.0,86.881,2595.944,0.0,5.67,19.53,0.0,0.0,0.0,0.0,0.0,1.039,0.0,0.0,0.0,1.002,0.0,0.0,1.983,1.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,44.937,308.496,0.0,5.914,3.378,1.208,0.0,0.0,0.0,0.0
CPA_C10-12,2127.502,0.0,0.0,0.0,21629.752,0.0,0.0,6.297,1.04,1.135,665.884,219.287,0.0,0.0,0.0,0.0,3.937,3.054,3.88,2.995,0.0,9.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.365,136.144,0.0,0.0,9903.211,0.0,20.43,0.0,0.0,0.0,0.0,0.0,0.0,16.51,0.0,0.929,0.0,4.147,0.0,0.0,0.0,11.181,3011.775,534.065,3731.382,2309.566,89.767,43.394,211.855,0.0,69.666
CPA_C13-15,26.319,2.107,40.816,4.358,6.315,1328.321,1.051,13.1,2.163,1.18,4.329,15.501,189.53,4.248,6.504,49.454,46.069,44.474,91.819,468.354,40.738,315.352,17.633,0.0,1.045,147.12,3.54,6.003,44.8,5.655,0.0,1.815,2.169,3.225,101.223,0.0,11.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966,2.396,1.078,0.0,0.0,0.0,175.505,60.599,10.019,93.924,116.833,115.113,24.502,22.76,1.009,24.154
CPA_C16,38.26,2.015,1.301,27.094,116.765,21.62,3949.608,195.244,4.137,9.032,223.563,33.886,55.616,91.414,81.903,213.343,93.995,73.93,302.05,200.628,462.543,1143.078,61.504,7.173,46.987,4173.246,13.544,93.015,71.411,10.816,0.0,0.0,34.233,8.225,57.876,0.0,8.129,32.541,4.057,7.203,10.062,3.012,167.688,21.556,15.404,10.161,26.352,7.218,8.806,1.005,0.0,328.629,124.754,117.116,40.922,19.384,29.358,32.067,4.947,1.931,1053.981
CPA_C17,19.617,4.133,12.009,56.635,2737.404,255.48,62.88,4597.372,1133.847,5.789,1196.142,735.149,418.229,231.225,15.947,343.636,474.904,486.017,371.088,205.732,48.148,422.679,83.414,4.203,6.151,47.027,6.944,1982.988,1231.359,8.873,8.261,5.342,25.53,29.52,30.214,106.649,12.504,6.257,27.04,44.317,13.413,6.178,10.235,237.888,244.833,15.155,41.121,174.479,21.93,32.967,7.708,410.61,55.402,15.285,20.47,54.953,12.544,21.501,16.234,3.96,23.689
CPA_C18,18.892,2.985,1.285,11.32,141.156,91.502,34.745,116.512,1531.171,21.184,98.124,101.439,72.214,38.116,83.955,101.368,145.038,131.016,216.331,377.622,27.624,159.845,35.267,9.107,70.095,77.197,203.969,637.322,2060.319,79.044,9.945,15.432,49.173,305.61,37.411,2784.29,619.171,390.645,145.227,585.058,269.272,11.899,57.171,790.683,263.672,179.705,175.377,328.933,77.024,178.588,538.678,761.911,681.968,239.726,62.097,485.309,101.475,34.104,231.575,3.813,35.646
CPA_C19,813.362,107.023,16.752,95.025,139.304,22.089,29.118,36.964,11.097,2629.486,2128.591,74.98,56.351,441.313,902.021,89.607,55.672,92.349,137.692,285.56,46.086,50.692,21.285,18.688,339.983,2513.616,192.52,1505.429,544.525,1616.412,10.804,3.726,1585.869,412.515,189.656,23.199,58.869,56.729,77.251,22.216,39.939,12.926,92.09,288.519,95.02,100.088,11.062,84.079,45.886,12.934,48.382,290.724,584.88,156.482,154.19,119.877,110.236,68.805,79.611,2.071,201.361
CPA_C20,1034.356,7.66,2.826,14.711,323.563,531.05,1100.387,417.251,171.858,150.802,4171.107,1396.068,1945.0,932.048,1041.424,414.186,179.694,130.875,352.118,753.928,212.638,301.327,64.637,14.466,226.9,1896.998,193.654,26.188,68.005,11.746,19.685,13.199,10.139,4.466,60.565,13.419,3.311,1.104,7.71,3.911,14.204,0.0,26.015,12.262,27.88,50.156,2.488,12.318,2.732,2.182,0.0,1185.932,342.428,67.06,173.422,64.387,26.568,42.86,0.0,10.484,224.212
